,id
109,1248090407965090048
110,1248090315568760064
111,1248090255720240128
112,1248090250666070016
113,1248090122693819904
114,1248089923082759936
115,1248089891101179904
116,1248089811178550016
117,1248089757768450048
118,1248089638536760064
119,1248089525668239872
120,1248089488804349952
121,1248089473210030080
122,1248089265743049984
123,1248089135341959936
124,1248089057806240000
125,1248088905510939904
126,1248088851786200064
127,1248088722454629888
128,1248088581677240064
129,1248088579529740032
130,1248088567135360000
131,1248088553223069952
132,1248088497824600064
133,1248088449015579904
134,1248088401431099904
135,1248088352315849984
136,1248088255985260032
137,1248088242416570112
138,1248088229347069952
139,1248088226432049920
140,1248088217708090112
141,1248088196703049984
142,1248088143083069952
143,1248088136447490048
144,1248088090872140032
145,1248088045586269952
146,1248088024895739904
147,1248087931040029952
148,1248087896499749888
149,1248087882344079872
150,1248087837314070016
151,1248087833014909952
152,1248087663342729984
153,1248087652924000000
154,1248087615686870016
155,1248087511387310080
156,1248087464629149952
157,1248087457997839872
158,1248087410199719936
159,1248087377567859968
160,1248087344109979904
161,1248087343837390080
162,1248087343032079872
163,1248087341828320000
164,1248087292322939904
165,1248087248085479936
166,1248086875325199872
167,1248086872913590016
168,1248086820866289920
169,1248086653295409920
170,1248086545900270080
171,1248086510064160000
172,1248086477835330048
173,1248086475196989952
174,1248086284775520000
175,1248086284775480064
176,1248086284758700032
177,1248086249895800064
178,1248086247886799872
179,1248086245835709952
180,1248086006802370048
181,1248085992998700032
182,1248085992390550016
183,1248085939131490048
184,1248085927924320000
185,1248085867274439936
186,1248085777801560064
187,1248085777788989952
188,1248085777470259968
189,1248085777453479936
190,1248085777260499968
191,1248085777260480000
192,1248085727486889984
193,1248085662538040064
194,1248085542819919872
195,1248085521697509888
196,1248085409806070016
197,1248085331255140096
198,1248085326154720000
199,1248085271469540096
200,1248085229878700032
201,1248085096470459904
202,1248085096466279936
203,1248085096466269952
204,1248085044159290112
205,1248084919084969984
206,1248084876676369920
207,1248084867004410112
208,1248084812478459904
209,1248084761702060032
210,1248084662972489984
211,1248084601244750080
212,1248084582659840000
213,1248084552364559872
214,1248084502494279936
215,1248084447188189952
216,1248084239335280128
217,1248084237305220096
218,1248084235308750080
219,1248084194191770112
220,1248084130405009920
221,1248084021902330112
222,1248084021877189888
223,1248084021872979968
224,1248084021742990080
225,1248084021738800128
226,1248084021667480064
227,1248084020157530112
228,1248084020153289984
229,1248084020140760064
230,1248083974301390080
231,1248083957859729920
232,1248083901421159936
233,1248083820236039936
234,1248083731019010048
235,1248083682604150016
236,1248083658671630080
237,1248083597325669888
238,1248083351124100096
239,1248083303829080064
240,1248083285894409984
241,1248083278671670016
242,1248083179648379904
243,1248083066158909952
244,1248083046512950016
245,1248083040355699968
246,1248083026271069952
247,1248082998177730048
248,1248082928803990016
249,1248082838655830016
250,1248082826932740096
251,1248082825833840128
252,1248082820268009984
253,1248082807412239872
254,1248082737677860096
255,1248082735694050048
256,1248082733664019968
257,1248082731646490112
258,1248082729801039872
259,1248082727833929984
260,1248082725338340096
261,1248082719495480064
262,1248082710415000064
263,1248082644262320128
264,1248082641875869952
265,1248082640076489984
266,1248082397104620032
267,1248082390943170048
268,1248082378347539968
269,1248082378326589952
270,1248082378326589952
271,1248082378322409984
272,1248082338766000128
273,1248082337734129920
274,1248082320004760064
275,1248082231274269952
276,1248082202597829888
277,1248082202597789952
278,1248082202560090112
279,1248082202560059904
280,1248082113708080128
281,1248082094439520000
282,1248082085643830016
283,1248082036788689920
284,1248081958871209984
285,1248081943457080064
286,1248081839539000064
287,1248081636526380032
288,1248081594495069952
289,1248081432523739904
